	{斜玉}
󲿐	{𭬍字边之一}
󲿑	{𭬑字头}
󲿒	{𭬔字边}
󲿓	{𭬗字边}
󲿔	{𭬘字边}
󲿕	{𭬛字边}
󲿖	{𭬞字边}
󲿗	{𭬞字边之一}
󲿘	{𭬟字头}
󲿙	{𭬡字中}
󲿚	{𭬢字头字旁}
󲿛	{𭬢字头}
󲿜	{𭬤字边}
󲿝	{𭬭字边}
󲿞	{𭬯字边}
󲿟	{𭬱字边}
󲿠	{𭬷字头}
󲿡	{𭬹字边}
󲿢	{𭬺字底字边}
󲿣	{𭬺字底}
󲿤	{𭬽字腰}
󲿥	{𭭃字边字底字旁}
󲿧	{𭭃字边字底}
󲿨	{𭭃字边}
󲿪	{𭭃字边之一}
󲿫	{𭭛字边}
󲿬	{𭭛字边字心}
󲿭	{𭭛字边之一}
󲿮	{𭭧字旁}
󲿯	{𭭬字旁}
󲿰	{𭭰字底}
󲿱	{𭭳字旁}
󲿲	{𭭼字边字底}
󲿳	{𭭼字边}
󲿴	{𭮉字边字框}
󲿵	{𭮉字边}
󲿶	{𭮊字边}
󲿷	{𭮐字边}
󲿸	{𭮘字边}
󲿹	{𭮙字底}
󲿺	{𭮚字头}
󲿻	{𭮞字边}
󲿼	{𭮟字边}
󲿽	{𭮢字边}
󲿾	{𭮦字边}
󲿿	{𭮯字旁}
󳀀	{𭮰字旁}
󳀁	{𭮱字旁字框}
󳀂	{𭮱字旁}
󳀃	{𭮳字旁}
󳀄	{𭮴字旁}
󳀅	{𭮽字旁}
󳀆	{𭮿字旁}
󳀇	{𭯉字边}
󳀈	{𭯉字边之一}
󳀉	{𭯟字心}
󳀊	{𭯟字心之一}
󳀋	{𭯠字头}
󳀍	{𭯥字旁}
󳀎	{𭯩字旁}
󳀏	{𭯬字旁}
󳀐	{𭯲字底}
󳀑	{𭯳字心}
󳀒	{𭯵字框}
󳀓	{𭯽字边字框}
󳀔	{𭯽字边}
󳀕	{𭰅字边}
󳀗	{𭰅字边之一}
󳀘	{𭰅字边之二}
󳀙	{𭰆字边}
󳀚	{𭰡字边}
󳀛	{𭰯字边}
󳀜	{𭰱字边}
󳀝	{𭰲字边}
󳀞	{𭰴字边}
󳀟	{𭰴字边之一}
󳀠	{𭰼字边}
󳀡	{𭰼字边之一}
󳀢	{𭱂字边}
󳀣	{𭱄字边}
󳀥	{𭱋字边}
󳀦	{𭱎字边}
󳀧	{𭱏字边}
󳀨	{𭱐字中}
󳀩	{𭱔字边}
󳀪	{𭱖字边}
󳀫	{𭱗字边}
󳀬	{𭱙字边}
󳀭	{𭱟字边}
󳀮	{𭱟字边之一}
󳀯	{𭱢字中}
󳀰	{𭱦字边}
󳀱	{𭱩字边}
󳀲	{𭱪字边字底}
󳀳	{𭱪字边}
󳀴	{𭱱字边}
󳀵	{𭱱字边之一}
󳀶	{𭱽字边字底}
󳀷	{𭱽字边}
󳀸	{𭱾字中}
󳀹	{𭲄字边}
󳀺	{𭲉字边}
󳀻	{𭲑字边}
󳀼	{𭲒字边字头}
󳀽	{𭲒字边}
󳀾	{𭲓字边}
󳀿	{𭲛字边}
󳁁	{𭲝字边}
󳁂	{𭲣字边}
󳁃	{𭲦字边}
󳁄	{𭲧字边}
󳁅	{𭲬字边}
󳁆	{𭲯字边}
󳁇	{𭲳字边}
󳁈	{𭲹字边}
󳁉	{𭲾字边字底}
󳁊	{𭲾字边}
󳁌	{𭳁字边}
󳁍	{𭳃字边}
󳁏	{𭳄字边}
󳁐	{𭳅字边}
󳁑	{𭳓字边}
󳁒	{𭳖字边}
󳁓	{𭳗字边}
󳁔	{𭳘字边}
󳁕	{𭳙字边字心}
󳁖	{𭳙字边}
󳁗	{𭳛字边}
󳁘	{𭳜字中}
󳁙	{𭳟字边}
󳁚	{𭳣字边}
󳁛	{𭳦字边}
󳁜	{𭳦字边之一}
󳁝	{𭳧字边}
󳁞	{𭳩字边字框}
󳁟	{𭳩字边}
󳁠	{𭳪字边}
󳁡	{𭳫字边}
󳁢	{𭳭字边}
󳁣	{𭳲字边}
󳁤	{𭳴字边}
󳁥	{𭳷字边字底}
󳁦	{𭳷字边}
󳁧	{𭳷字边字底之一}
󳁨	{𭳷字边之一}
󳁩	{𭳹字边}
󳁪	{𭴥字边}
󳁫	{𭴫字头}
󳁬	{𭴹字边}
󳁭	{𭴺字头}
󳁮	{𭵇字头字心}
󳁯	{𭵇字头}
󳁰	{𭵈字腰}
󳁱	{𭵏字边}
󳁲	{𭵒字边}
󳁵	{𭵯字边}
󳁶	{𭵲字边}
󳁷	{𭵳字头}
󳁸	{𭵸字边字底}
󳁹	{𭵸字边}
󳁺	{𭵺字头}
󳁻	{𭶃字头字旁}
󳁼	{𭶃字头}
󳁽	{𭶉字头}
󳁾	{𭶊字头}
󳁿	{𭶐字头}
󳂀	{𭶑字头}
󳂁	{𭶕字头字中}
󳂂	{𭶕字头}
󳂃	{𭶖字边}
󳂄	{𭶘字边}
󳂅	{𭶜字头}
󳂆	{𭶝字头}
󳂇	{𭶠字头}
󳂈	{𭶡字头}
󳂉	{𭶥字腰}
󳂊	{𭶳字旁}
󳂋	{𭷌字边}
󳂌	{𭷤字头}
󳂍	{𭷫字边}
󳂎	{𭷯字底}
󳂏	{𭷵字底}
󳂐	{𭷺字边}
󳂑	{𭸂字边}
󳂒	{𭸏字边}
󳂓	{𭸔字边}
󳂔	{𭸣字旁}
󳂕	{𭸮字旁字心}
󳂖	{𭸮字旁}
󳂘	{𭹅字边}
󳂙	{𭹒字边}
󳂚	{𭹡字边}
󳂜	{𭹲字边}
󳂝	{𭹷字边}
󳂞	{𭹹字边}
󳂟	{𭹻字边字底字心字边}
󳂠	{𭹻字边字底字心}
󳂡	{𭹻字边字底}
󳂢	{𭹻字边}
󳂣	{𭹽字边}
󳂤	{𭹽字边之一}
󳂥	{𭹾字边}
󳂦	{𭹿字边}
󳂧	{𭺃字边}
󳂨	{𭺈字边}
󳂩	{𭺒字底}
󳂪	{𭺔字头}
󳂫	{𭺔字底}
󳂬	{𭺖字边字腰}
󳂭	{𭺖字边}
󳂮	{𭺖字边之一}
󳂯	{𭺜字底}
󳂲	{𭻋字旁}
󳂳	{𭻡字心}
󳂴	{𭻩字头}
󳂵	{𭻩字底}
󳂶	{𭻯字头}
󳂷	{𭻯字底}
󳂸	{𭻹字框}
󳂹	{𭻼字旁}
󳂺	{𭻼字边}
󳂻	{𭻼字底}
󳂼	{𭼃字旁}
󳂽	{𭼃字边}
󳂿	{𭼧字心字心}
󳃀	{𭼧字心}
󳃁	{𭼪字心}
󳃂	{𭼪字心之一}
󳃄	{𭼸字心字头}
󳃅	{𭼸字心}
󳃆	{𭼸字心之一}
󳃇	{𭼾字头}
󳃈	{𭽂字头}
󳃊	{𭽇字底之一}
󳃋	{𭽘字边}
󳃍	{𭽯字旁}
󳃎	{𭽶字底字心字旁字底}
󳃏	{𭽶字底字心字旁}
󳃐	{𭽶字底字心}
󳃑	{𭽶字底}
󳃒	{𭾆字头}
󳃓	{𭾊字框}
󳃔	{𭾋字头}
󳃕	{𭾋字头之一}
󳃖	{𭾌字头}
󳃘	{𭾏字头}
󳃙	{𭾤字边}
󳃚	{𭾩字底}
󳃛	{𭾪字底}
󳃜	{𭾪字底之一}
󳃝	{𭿀字头}
󳃞	{𭿆字边}
󳃟	{𭿓字底}
󳃠	{𭿖字边}
󳃢	{𭿣字边}
󳃣	{𭿥字底}
󳃤	{𭿪字底字边}
󳃥	{𭿪字底}
󳃦	{𭿵字底字底}
󳃧	{𭿵字底}
󳃨	{𮀕字边}
󳃪	{𮀗字边之一}
󳃫	{𮀱字头}
󳃬	{𮀳字边}
󳃭	{𮀵字边}
󳃮	{𮀶字边}
󳃯	{𮀶字边之一}
󳃰	{𮀽字边}
󳃳	{𮁁字边}
󳃴	{𮁃字边}
󳃵	{𮁄字边字头字旁}
󳃶	{𮁄字边字头}
󳃷	{𮁄字边}
󳃹	{𮁅字边}
󳃺	{𮁆字边}
󳃻	{𮁏字边}
󳃼	{𮁓字边}
󳃽	{𮁩字边}
󳄀	{𮁼字边字底字心}
󳄁	{𮁼字边字底}
󳄂	{𮁼字边}
󳄄	{𮁼字边字底之一}
󳄅	{𮁼字边之一}
󳄆	{𮂁字边}
󳄈	{𮂂字边}
󳄊	{𮂍字边}
󳄌	{𮂔字边}
󳄎	{𮂖字边字底}
󳄏	{𮂖字边}
󳄑	{𮂖字边之一}
󳄒	{𮂗字边}
󳄓	{𮂗字边之一}
󳄕	{𮂞字边字头}
󳄖	{𮂞字边}
󳄙	{𮂢字边字底}
󳄚	{𮂢字边}
󳄛	{𮂢字边之一}
󳄜	{𮂦字边}
󳄝	{𮂪字边字底字心字旁}
󳄞	{𮂪字边字底字心字边}
󳄟	{𮂪字边字底字心}
󳄠	{𮂪字边字底}
󳄡	{𮂪字边}
󳄣	{𮂪字边字底字心之一}
󳄤	{𮂪字边字底之一}
󳄥	{𮂪字边之一}
󳄦	{𮂷字底}
󳄧	{𮃆字边}
󳄩	{𮃊字边}
󳄪	{𮃋字边}
󳄫	{𮃍字边}
󳄬	{𮃏字边}
󳄭	{𮃖字边}
󳄮	{𮃗字边}
󳄯	{𮃘字边字头}
󳄰	{𮃘字边}
󳄱	{𮃞字边}
󳄲	{𮃡字边}
󳄳	{𮃮字边}
󳄴	{𮃰字旁}
󳄵	{𮃵字旁}
󳄷	{𮄉字底}
󳄻	{𮄕字底}
󳄽	{𮄘字底}
󳄿	{𮄙字底}
󳅁	{𮄡字底}
󳅃	{𮄢字腰}
󳅄	{𮄣字底}
󳅆	{𮄤字底}
󳅈	{𮄥字底}
󳅊	{𮄦字底}
󳅌	{𮄿字底}
󳅍	{𮅏字底}
󳅎	{𮅛字底}
󳅏	{𮅨字底}
󳅐	{𮅲字底}
󳅑	{𮅲字底之一}
󳅒	{𮅳字腰}
󳅓	{𮅴字底}
󳅔	{𮅶字腰}
󳅕	{𮅷字腰}
󳅖	{𮆃字底}
󳅗	{𮆋字头}
󳅘	{𮆌字底}
󳅙	{𮆍字头}
󳅚	{𮆔字底}
󳅛	{𮆕字头字腰字心}
󳅜	{𮆕字头字腰}
󳅝	{𮆕字头}
󳅞	{𮆖字底}
󳅟	{𮆘字底}
󳅠	{𮆚字底}
󳅡	{𮆢字底字边}
󳅢	{𮆢字底}
󳅤	{𮆦字底}
󳅥	{𮆲字底}
󳅦	{𮆸字底}
󳅧	{𮆹字底}
󳅨	{𮆺字底}
󳅪	{𮆾字底字旁}
󳅫	{𮆾字底}
󳅬	{𮇀字底}
󳅭	{𮇦字旁}
󳅮	{𮇩字边}
󳅱	{𮇲字边}
󳅲	{𮇸字边}
󳅳	{𮇿字边}
󳅴	{𮈑字头}
󳅷	{𮈛字头}
󳅸	{𮈠字边}
󳅹	{𮈦字边}
󳅻	{𮈨字边}
󳅼	{𮈨字边之一}
󳅽	{𮈨字边之二}
󳅾	{𮈭字边}
󳆀	{𮈯字边}
󳆂	{𮈱字边}
󳆄	{𮈷字边}
󳆅	{𮈷字边之一}
󳆆	{𮈺字边}
󳆋	{𮉈字边}
󳆍	{𮉊字边}
󳆏	{𮉍字边}
󳆔	{𮉰字底}
󳆕	{𮉾字底}
󳆖	{𮊌字心}
󳆗	{𮊌字心之一}
󳆘	{𮊐字底}
󳆙	{𮊐字底之一}
󳆚	{𮊒字底字边}
󳆛	{𮊒字底}
󳆜	{𮊒字底字边之一}
󳆝	{𮊒字底之一}
󳆞	{𮊖字腰}
󳆟	{𮊜字底}
󳆡	{𮊦字底}
󳆢	{𮊧字边}
󳆣	{𮊫字底}
󳆥	{𮊵字底之一}
󳆦	{𮊷字底}
󳆧	{𮋀字底字底字心}
󳆨	{𮋀字底字底}
󳆩	{𮋀字底}
󳆪	{𮋉字旁}
󳆫	{𮋏字旁}
󳆬	{𮋑字旁}
󳆭	{𮋒字中}
󳆰	{𮋚字旁}
󳆱	{𮋢字边}
󳆲	{𮋾字头}
󳆳	{𮌁字心}
󳆴	{𮌄字心字心}
󳆵	{𮌄字心}
󳆶	{𮌆字框}
󳆷	{𮌆字心字心字旁}
󳆸	{𮌆字心字心}
󳆹	{𮌆字心}
󳆺	{𮌏字边}
󳆾	{𮌛字边}
󳇁	{𮌣字边}
󳇃	{𮌦字边}
󳇅	{𮌩字底}
󳇆	{𮌮字边}
󳇇	{𮌮字边之一}
󳇉	{𮌷字边}
󳇏	{𮍁字边}
󳇑	{𮍆字边}
󳇒	{𮍆字边之一}
󳇔	{𮍉字边字头}
󳇕	{𮍉字边字底}
󳇖	{𮍉字边}
󳇗	{𮍒字心字心}
󳇘	{𮍒字心}
󳇙	{𮍙字底}
󳇚	{𮍝字边}
󳇛	{𮍞字腰}
󳇜	{𮍫字头}
󳇝	{𮍬字头}
󳇞	{𮍭字头}
󳇟	{𮍮字头}
󳇠	{𮍰字头}
󳇡	{𮍳字底}
󳇣	{𮍹字底}
󳇥	{𮎕字边}
󳇧	{𮎯字底}
󳇨	{𮎳字底}
󳇩	{𮎳字心}
󳇪	{𮎵字底字框}
󳇫	{𮎵字底}
󳇭	{𮎷字底}
󳇮	{𮎽字底}
󳇯	{𮎿字底字框}
󳇰	{𮎿字底}
󳇱	{𮏐字底}
󳇳	{𮏞字腰}
󳇴	{𮏟字底}
󳇵	{𮏠字底}
󳇶	{𮏩字底}
󳇷	{𮏬字底}
󳇸	{𮏶字底字边}
󳇹	{𮏶字底}
󳇺	{𮏸字底}
󳇻	{𮏻字底字边}
󳇼	{𮏻字底}
󳇽	{𮏼字底字边}
󳇾	{𮏼字底}
󳈀	{𮐀字底}
󳈁	{𮐁字底}
󳈂	{𮐁字底之一}
󳈃	{𮐗字底字头}
󳈄	{𮐗字底}
󳈅	{𮐛字腰}
󳈆	{𮐠字底}
󳈇	{𮐣字底字框}
󳈈	{𮐣字底}
󳈉	{𮐤字旁}
󳈊	{𮐥字底}
󳈋	{𮐦字底}
󳈌	{𮐧字底}
󳈍	{𮐩字底}
󳈎	{𮐪字底}
󳈏	{𮐺字底字心}
󳈐	{𮐺字底}
󳈑	{𮐼字底字心}
󳈒	{𮐼字底}
󳈓	{𮑊字底}
󳈔	{𮑏字底}
󳈕	{𮑏字底之一}
󳈖	{𮑑字底}
󳈗	{𮑚字底}
󳈘	{𮑛字底}
󳈙	{𮑠字底}
󳈛	{𮑥字底}
󳈜	{𮑥字底之一}
󳈝	{𮑧字底}
󳈞	{𮑨字底}
󳈟	{𮑩字腰字头}
󳈠	{𮑩字腰}
󳈡	{𮑩字底}
󳈢	{𮑩字底之一}
󳈣	{𮑯字底字心}
󳈤	{𮑯字底}
󳈥	{𮑲字底}
󳈧	{𮑲字底之一}
󳈩	{𮑷字底}
󳈪	{𮑸字底}
󳈭	{𮑺字底}
󳈮	{𮑻字底}
󳈯	{𮑼字底}
󳈱	{𮑼字底之一}
󳈳	{𮑿字腰}
󳈴	{𮒂字底}
󳈵	{𮒆字底}
󳈸	{𮒋字底字边}
󳈹	{𮒋字底}
󳈺	{𮒐字底}
󳈻	{𮒓字底}
󳈼	{𮒗字底}
󳈽	{𮒘字腰}
󳈾	{𮒚字底字旁}
󳈿	{𮒚字底}
󳉀	{𮒢字底}
󳉂	{𮒨字底}
󳉃	{𮒪字底}
󳉄	{𮒪字底之一}
󳉅	{𮒮字底字心字旁}
󳉆	{𮒮字底字心}
󳉇	{𮒮字底}
󳉈	{𮒴字底}
󳉋	{𮒻字底}
󳉌	{𮓀字底}
󳉎	{𮓈字底}
󳉏	{𮓍字底}
󳉐	{𮓐字底}
󳉑	{𮓓字底}
󳉒	{𮓓字底之一}
󳉓	{𮓕字底}
󳉔	{𮓖字底}
󳉕	{𮓞字底}
󳉖	{𮓟字框}
󳉗	{𮓠字心}
󳉘	{𮓨字边}
󳉙	{𮓩字旁}
󳉚	{𮓫字旁}
󳉛	{𮓭字旁}
󳉜	{𮓭字边}
󳉞	{𮔃字边}
󳉟	{𮔈字边}
󳉡	{𮔔字边}
󳉢	{𮔞字头}
󳉣	{𮔮字边}
󳉤	{𮔵字边}
󳉦	{𮕄字边}
󳉧	{𮕇字边}
󳉨	{𮕈字边}
󳉩	{𮕋字边字底字心字边}
󳉪	{𮕋字边字底字心}
󳉫	{𮕋字边字底}
󳉬	{𮕋字边}
󳉭	{𮕎字腰}
󳉮	{𮕕字框}
󳉯	{𮕚字边}
󳉰	{𮕡字头}
󳉲	{𮕾字边}
󳉵	{𮕾字边之二}
󳉶	{𮖋字头}
󳉷	{𮖚字腰}
󳉸	{𮖟字头}
󳉹	{𮖠字腰}
󳉺	{𮖥字腰}
󳉻	{𮖥字腰之一}
󳉼	{𮖰字边}
󳉽	{𮖸字边字底}
󳉾	{𮖸字边}
󳊀	{𮖾字边}
󳊁	{𮗇字底}
󳊂	{𮗇字底之一}
󳊃	{𮗋字底}
󳊅	{𮗖字头字边}
󳊆	{𮗖字头}
󳊇	{𮗛字旁}
󳊈	{𮗜字头}
󳊊	{𮗨字边}
󳊎	{𮘊字边}
󳊐	{𮘍字边}
󳊒	{𮘐字底}
󳊓	{𮘐字底之一}
󳊕	{𮘘字边}
󳊖	{𮘛字边}
󳊗	{𮘛字边之一}
󳊘	{𮘤字头}
󳊙	{𮘥字边}
󳊚	{𮘮字边}
󳊛	{𮘯字边字底}
󳊜	{𮘯字边}
󳊝	{𮘳字头}
󳊞	{𮘸字边}
󳊠	{𮘼字边}
󳊡	{𮙃字边}
󳊢	{𮙄字边}
󳊣	{𮙄字边之一}
󳊥	{𮙈字边}
󳊦	{𮙏字心}
󳊧	{𮙘字头字旁}
󳊨	{𮙘字头}
󳊩	{𮙙字边}
󳊪	{𮙝字底}
󳊫	{𮙢字边}
󳊬	{𮚁字底}
󳊭	{𮚕字头}
󳊮	{𮚨字底}
󳊯	{𮚭字头}
󳊰	{𮚭字头字旁}
󳊲	{𮚭字头之一}
󳊳	{𮚮字底}
󳊴	{𮚯字底}
󳊶	{𮚰字底}
󳊷	{𮚰字底之一}
󳊸	{𮚺字心}
󳊹	{𮛩字边字心}
󳊺	{𮛩字边}
󳊻	{𮛳字边}
󳊼	{𮛷字边}
󳊽	{𮛺字边字心}
󳊾	{𮛺字边}
󳊿	{𮜉字边字底}
󳋀	{𮜉字边}
󳋁	{𮜊字边}
󳋃	{𮜔字边字底}
󳋄	{𮜔字边}
󳋅	{𮜕字边}
󳋆	{𮜟字心字头}
󳋇	{𮜟字心}
󳋈	{𮜠字边字心}
󳋉	{𮜠字边}
󳋊	{𮜥字边字心}
󳋋	{𮜥字边}
󳋌	{𮜦字边}
󳋍	{𮜨字边}
󳋎	{𮜫字头}
󳋏	{𮜬字边}
󳋐	{𮜬字边之一}
󳋒	{𮝎字边之一}
󳋔	{𮝝字边}
󳋕	{𮝞字边}
󳋗	{𮝠字边}
󳋙	{𮝫字边字框}
󳋚	{𮝫字边}
󳋜	{𮝯字边之一}
󳋞	{𮞆字框}
󳋟	{𮞕字框}
󳋠	{𮞖字框}
󳋡	{𮞙字框字底}
󳋢	{𮞙字框}
󳋤	{𮞜字框}
󳋥	{𮞞字框}
󳋦	{𮞠字框}
󳋧	{𮞦字框}
󳋨	{𮞧字框}
󳋩	{𮞭字框}
󳋪	{𮞮字框}
󳋫	{𮞯字框}
󳋬	{𮞱字框}
󳋮	{𮞳字框}
󳋯	{𮞵字框}
󳋰	{𮞷字框}
󳋲	{𮞽字框}
󳋳	{𮟃字框}
󳋴	{𮟄字框}
󳋵	{𮟅字框}
󳋷	{𮟏字框}
󳋸	{𮟑字框}
󳋹	{𮟒字框}
󳋺	{𮟔字框}
󳋻	{𮟖字框}
󳋼	{𮟖字框之一}
󳋽	{𮟘字框}
󳋾	{𮟚字框}
󳋿	{𮟛字框字边}
󳌀	{𮟛字框}
󳌁	{𮟝字框}
󳌂	{𮟞字框字底}
󳌃	{𮟞字框}
󳌄	{𮟡字框}
󳌅	{𮟡字框之一}
󳌆	{𮟣字框}
󳌇	{𮟥字框}
󳌈	{𮟦字框}
󳌉	{𮟧字框字旁}
󳌊	{𮟧字框}
󳌋	{𮟾字旁}
󳌌	{𮠆字旁}
󳌍	{𮠇字旁}
󳌎	{𮠉字旁}
󳌏	{𮠊字旁}
󳌐	{𮠌字旁}
󳌑	{𮠏字头}
󳌒	{𮠐字旁}
󳌓	{𮠒字旁}
󳌔	{𮠙字头}
󳌕	{𮠚字底字框}
󳌖	{𮠚字底}
󳌗	{𮠮字边}
󳌘	{𮡋字边}
󳌙	{𮡐字头}
󳌚	{𮡘字头}
󳌛	{𮡟字头}
󳌜	{𮡪字边字框字心}
󳌝	{𮡪字边字框}
󳌞	{𮡪字边}
󳌟	{𮡪字边字框之一}
󳌠	{𮡪字边之一}
󳌡	{𮡴字边}
󳌢	{𮢂字边}
󳌣	{𮢃字边}
󳌤	{𮢇字边字心}
󳌥	{𮢇字边}
󳌦	{𮢉字边}
󳌧	{𮢔字边}
󳌨	{𮢡字边}
󳌩	{𮢢字边}
󳌪	{𮢨字边}
󳌬	{𮢰字边字底}
󳌭	{𮢰字边}
󳌮	{𮢸字头}
󳌯	{𮢼字边}
󳌰	{𮢾字边字心}
󳌱	{𮢾字边}
󳌲	{𮣀字边}
󳌴	{𮣅字边}
󳌵	{𮣉字边}
󳌶	{𮣓字边字底}
󳌷	{𮣓字边}
󳌸	{𮣕字边}
󳌹	{𮣛字边}
󳌺	{𮣝字边}
󳌻	{𮣟字边}
󳌼	{𮣤字边}
󳌽	{𮣥字边}
󳌾	{𮣨字边}
󳌿	{𮣨字边之一}
󳍀	{𮣩字头}
󳍁	{𮣩字头之一}
󳍂	{𮣪字边}
󳍃	{𮣭字边字底}
󳍄	{𮣭字边}
󳍅	{𮣭字边字底之一}
󳍆	{𮣭字边之一}
󳍇	{𮣿字边字底}
󳍈	{𮣿字边}
󳍋	{𮤐字心}
󳍌	{𮤑字心}
󳍍	{𮤔字心}
󳍎	{𮤚字心}
󳍏	{𮤝字心}
󳍐	{𮤢字心}
󳍑	{𮤩字心}
󳍒	{𮥏字边}
󳍓	{𮥑字边}
󳍔	{𮥓字边}
󳍕	{𮥖字边字框}
󳍖	{𮥖字边}
󳍗	{𮥙字边}
󳍘	{𮥬字边}
󳍙	{𮥬字边之一}
󳍚	{𮥳字边}
󳍛	{𮥴字心}
󳍜	{𮥶字底}
󳍝	{𮥹字底}
󳍞	{𮦁字旁}
󳍠	{𮦤字底}
󳍡	{𮦪字底字边}
󳍢	{𮦪字底}
󳍣	{𮦼字底}
󳍤	{𮦿字底}
󳍥	{𮧂字底字边字底字心}
󳍦	{𮧂字底字边字底}
󳍧	{𮧂字底字边}
󳍨	{𮧂字底}
󳍩	{𮧌字底}
󳍪	{𮧒字头}
󳍫	{𮧔字旁}
󳍬	{𮧚字边}
󳍭	{𮧟字边}
󳍮	{𮧻字边}
󳍯	{𮨁字旁}
󳍰	{𮨅字旁}
󳍱	{𮨉字旁}
󳍲	{𮨊字旁}
󳍳	{𮨍字旁}
󳍴	{𮨎字旁}
󳍵	{𮨔字旁}
󳍶	{𮨖字旁}
󳍷	{𮨛字旁}
󳍸	{𮨞字旁}
󳍹	{𮨨字旁}
󳍺	{𮨽字底}
󳍻	{𮨾字边}
󳍽	{𮩂字边}
󳍿	{𮩊字边}
󳎁	{𮩊字边之一}
󳎂	{𮩋字边}
󳎄	{𮩎字边}
󳎆	{𮩗字边}
󳎇	{𮪐字边}
󳎈	{𮪖字边}
󳎊	{𮪛字边}
󳎋	{𮪝字边}
󳎌	{𮪞字边}
󳎍	{𮪷字旁}
󳎎	{𮫀字边}
󳎏	{𮫆字边}
󳎐	{𮫎字底}
󳎓	{𮫛字中字头}
󳎔	{𮫛字中字底字底}
󳎕	{𮫛字中字底}
󳎖	{𮫛字中}
󳎗	{𮫵字边字底}
󳎘	{𮫵字边}
󳎙	{𮬁字边字心字头}
󳎚	{𮬁字边字心字底}
󳎛	{𮬁字边字心}
󳎜	{𮬁字边}
󳎞	{𮬇字边}
󳎠	{𮬇字边之一}
󳎡	{𮬙字边}
󳎢	{𮬰字旁}
󳎣	{𮬿字旁字底}
󳎤	{𮬿字旁}
󳎥	{𮭂字边}
󳎧	{𮭐字旁}
󳎨	{𮭴字心}
󳎩	{𮭶字底字心}
󳎪	{𮭶字底}
󳎬	{𮭶字底之一}
󳎭	{𮭷字底字心}
󳎮	{𮭷字底}
󳎰	{𮭷字底之一}
󳎱	{𮭹字底}
󳎲	{𮭿字心字头}
󳎴	{𮭿字心字底}
󳎵	{𮭿字心}
󳎷	{𮭿字边字底}
󳎸	{𮭿字边}
󳎹	{𮮍字心}
󳎺	{𮮗字头}
󳎻	{𮮘字头}
󳎼	{𮮜字头}
󳎽	{𮮞字头}
󳎿	{𮮠字底}
󳏀	{𮮡字腰}
󳏂	{𮮹字边字底}
󳏃	{𮮹字边}
󳏄	{𮮺字腰字心}
󳏅	{𮮺字腰}
󳏆	{𮮻字腰}
󳏇	{𮮼字腰字心}
󳏈	{𮮼字腰}
󳏉	{𮮽字底}
󳏊	{𮯕字边}
󳏋	{𮯛字底字边}
󳏌	{𮯛字底}
󳏍	{𮯜字底字心}
󳏎	{𮯜字底}
󳏏	{𮯝字底字心}
󳏐	{𮯝字底}
󳏑	{𮯞字底字心}
󳏒	{𮯞字底}
󳏓	{𮯟字底}
󳏔	{𮯿字底}
󳏕	{𮰜字边}
󳏖	{𮲑字边}
󳏗	{𮲴字边}
󳏙	{𮳎字边}
󳏚	{𮳴字边}
󳏜	{𮶆字边}
󳏝	{𮶨字底}
󳏞	{𮶪字底}
󳏟	{𮶭字底}
󳏡	{𮸽字底}
󳏢	{𰀎字底}
󳏣	{𰀐字底}
󳏤	{𰀓字底}
󳏥	{𰀘字底}
󳏦	{𰀝字底}
󳏧	{𰀟字底字边}
󳏨	{𰀟字底}
󳏩	{𰁐字框}
󳏪	{𰁘字腰}
󳏫	{𰁱字边}
󳏬	{𰁵字边}
󳏭	{𰁶字边}
󳏮	{𰂄字边}
󳏯	{𰂉字边}
󳏰	{𰂡字边}
󳏱	{𰂣字边}
󳏲	{𰂫字边}
󳏳	{𰂮字边}
󳏴	{𰂸字边}
󳏵	{𰂼字边}
󳏶	{𰃐字边}
󳏷	{𰃝字底}
󳏸	{𰃭字头}
󳏹	{𰃭字底}
󳏺	{𰅑字旁}
󳏻	{𰅷字边}
󳏼	{𰅽字边}
󳏽	{𰆂字底}
󳏾	{𰆄字头}
󳏿	{𰆅字底}
󳐀	{𰆆字底}
󳐁	{𰆇字底}
󳐂	{𰆈字底字心}
󳐃	{𰆈字底}
󳐄	{𰆉字边}
󳐅	{𰆞字心}
󳐆	{𰆢字心}
󳐇	{𰆦字心}
󳐈	{𰆨字心}
󳐉	{𰆩字心}
󳐊	{𰇅字旁}
󳐋	{𰇟字底字心}
󳐌	{𰇟字底}
󳐍	{𰈫字旁}
󳐎	{𰈳字头字旁}
󳐏	{𰈳字头}
󳐐	{𰈿字边}
󳐑	{𰉌字边}
󳐒	{𰉳字边}
󳐓	{𰉷字旁}
󳐔	{𰊃字边}
󳐕	{𰊌字头}
󳐖	{𰊏字边字头}
󳐗	{𰊏字边}
󳐘	{𰊒字边}
󳐙	{𰊝字边}
󳐚	{𰊧字边}
󳐛	{𰊧字边之一}
󳐜	{𰊩字头}
󳐝	{𰊭字框}
󳐞	{𰊲字头}
󳐟	{𰊽字头}
󳐠	{𰋁字头}
󳐡	{𰋂字边字头}
󳐢	{𰋂字边}
󳐣	{𰋂字边字头之一}
󳐤	{𰋂字边之一}
󳐥	{𰋏字头}
󳐦	{𰍕字底}
󳐧	{𰍞字底}
󳐨	{𰎈字腰}
󳐩	{𰎣字头}
󳐪	{𰎣字头之一}
󳐫	{𰎤字底}
󳐬	{𰎪字边}
